키워드,대분류,중분류,구매가능일,기존/신규,비고
카드단말기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
ERP,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
포스기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰액정수리비,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰액정수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
랜섬웨어,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
랜섬웨어복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
포스,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
외장하드복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
신용카드단말기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
그룹웨어,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
휴대용카드단말기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
노트북수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
데이터복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
하드디스크복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
CRM,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
근태관리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
포스단말기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
디지털도어락,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
고객관리프로그램,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
VPN,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
ERP프로그램,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
스마트팩토리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
클라우드,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
하드복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰사설수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
회계프로그램,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
랜공사,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
카드단말기신청,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰배터리교체,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
CRM프로그램,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
노트북액정수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰수리점,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
근태관리시스템,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이패드수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
카드결제기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰수리센터,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
USB복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
근태관리프로그램,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
POS,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
컴퓨터수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰메인보드수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
핸드폰사진복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
IC카드단말기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
카드단말기설치,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
네트워크공사,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
무선카드단말기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
휴대폰사진복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰수리비,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
전기안전관리대행,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰수리비용,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
액정깨졌을때,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
그룹웨어추천,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
모니터수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
사무실랜공사,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이폰액정교체,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
MES,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
주차관제시스템,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
인트라넷,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
CLOUD,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
고객관리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
액정수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
외장하드인식안될때,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
무인결제시스템,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
스마트폰복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
그룹웨어구축,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
경리프로그램,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
단말기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
스마트폰사진복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
액정파손,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
컴퓨터포맷,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
맥북수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
재고관리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
재고관리프로그램,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
컴퓨터출장수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
POS단말기,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
포스기임대,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
아이패드액정수리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
카드단말기업체,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
방화벽,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
마케팅관리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
매출관리,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
사진복구,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
바코드스캐너,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
PC원격제어,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
컴퓨터원격제어,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
컴퓨터고장,IT/텔레콤,IT수리/관리서비스,현재구매가능,기존,
침대,가정/생활,가구,현재구매가능,기존,
쇼파,가정/생활,가구,현재구매가능,기존,
돌침대,가정/생활,가구,현재구매가능,기존,
매트리스,가정/생활,가구,현재구매가능,기존,
침대매트리스,가정/생활,가구,현재구매가능,기존,
흙침대,가정/생활,가구,현재구매가능,기존,
소파,가정/생활,가구,현재구매가능,기존,
패밀리침대,가정/생활,가구,현재구매가능,기존,
메모리폼매트리스,가정/생활,가구,현재구매가능,기존,
침대프레임,가정/생활,가구,현재구매가능,기존,
패브릭소파,가정/생활,가구,현재구매가능,기존,
라텍스매트리스,가정/생활,가구,현재구매가능,기존,
가죽소파,가정/생활,가구,현재구매가능,기존,
거실장,가정/생활,가구,현재구매가능,기존,
